CustomerId,FirstName,LastName,Country,City,DOB
1,Yolanda,Wagner,Belgium,Brussels,2/24/1969
2,Arnold,Harmon,England,London,11/1/1943
3,Minh,Casey,Ireland,Limerick,11/24/1975
4,Russell,McIntyre,Portugal,Braga,8/5/1991
5,Angelina,Santiago,England,London,8/22/1976
6,Sabrina,Conway,England,Birmingham,6/25/1962
7,Jacqueline,Zimmerman,Belgium,Brussels,5/4/2001
8,Dewey,Francis,England,Liverpool,1/10/1956
9,Haley,McDowell,Belgium,Brussels,4/25/1986
10,Brittany,Tate,England,Liverpool,4/7/1989
11,Dario,Morse,Portugal,Porto,6/2/1966
12,Josh,Conrad,England,Liverpool,10/18/1982
13,Coleman,Rios,England,Birmingham,1/17/1950
14,Shari,Nieves,England,Liverpool,5/4/1982
15,Keri,Reyes,England,London,2/9/1994
16,Lacy,Cross,Belgium,Antwerp,4/3/1997
17,Willie,Bonner,England,Liverpool,8/2/1949
18,Silvia,Justice,England,Liverpool,2/3/1965
19,Jody,Vinson,Belgium,Brussels,4/6/1960
20,Clifford,Kent,England,Liverpool,11/14/1989
21,Rafael,Garner,Portugal,Lisbon,8/27/1948
22,Leigh,Lott,Portugal,Lisbon,3/12/1962
23,Jean,Burgess,England,London,3/14/1999
24,Andrew,Schwartz,Belgium,Brussels,10/20/1995
25,Reyna,Hogan,France,Paris,1/11/1992
26,Abby,Dominguez,England,London,3/26/1967
27,Tristan,Salas,Ireland,Tralee,2/2/1989
28,Bill,Wells,England,London,6/22/1993
29,Antony,Lowe,England,Liverpool,4/2/1949
30,Hershel,Rodriguez,Portugal,Porto,11/2/1955
31,Valeria,Phillips,Belgium,Brussels,5/10/1981
32,Jeffery,Daniel,England,London,5/7/1968
33,Dolly,Rodriguez,Portugal,Braga,2/25/1994
34,Josef,Mitchell,Ireland,Tralee,7/23/1996
35,Tristan,Merritt,Portugal,Braga,5/18/2000
36,Jan,Copeland,England,Liverpool,2/6/1968
37,Kaye,Freeman,Portugal,Lisbon,8/4/1979
38,Salvador,Nieves,England,Manchester,8/27/1969
39,Harrison,Lindsay,Portugal,Porto,10/7/1965
40,Dillon,Hurley,England,London,7/11/1974
41,Horacio,Alvarez,Portugal,Lisbon,3/27/1961
42,Joshua,Howe,England,Manchester,8/21/1978
43,Chi,Barry,Portugal,Lisbon,6/27/1998
44,Janet,Greer,England,London,4/17/1999
45,Kelly,McGuire,England,Liverpool,4/14/1975
46,Kathy,Garcia,England,Liverpool,2/11/1961
47,Erich,Melendez,Portugal,Porto,9/14/1972
48,Grant,Pope,Portugal,Lisbon,9/19/1956
49,Carla,Cross,Portugal,Lisbon,8/17/1984
50,Louise,Whitney,Portugal,Lisbon,10/12/1955
51,Aurelio,Crosby,Belgium,Brussels,6/5/1987
52,Jewell,Frazier,Portugal,Lisbon,6/11/1965
53,Jonathon,Padilla,Ireland,Tralee,7/4/2002
54,Linda,Rogers,Ireland,Tralee,6/6/1960
55,Gayle,Michael,England,London,4/23/2002
56,Thomas,Booker,Portugal,Lisbon,7/11/1949
57,Cheryl,Morse,Belgium,Antwerp,4/2/1991
58,Janell,Chaney,Portugal,Braga,10/26/1942
